Training  for 1 epoch(s)
Epoch 1
Iteration:  2200 	s:9.4884 	Average Loss:  0.44543302452142597
Iteration:  2300 	s:9.3426 	Average Loss:  0.3850669626670424
Iteration:  2400 	s:9.3251 	Average Loss:  0.43540961145259643
Iteration:  2500 	s:9.3179 	Average Loss:  0.11996954588088556
Iteration:  2600 	s:9.0047 	Average Loss:  0.3388540011586338
Iteration:  2700 	s:9.1817 	Average Loss:  0.19021019701837305
Iteration:  2800 	s:9.2416 	Average Loss:  0.3090976411035854
Iteration:  2900 	s:9.6936 	Average Loss:  0.2866355521249716
Iteration:  3000 	s:9.4365 	Average Loss:  0.31082242678352484
Iteration:  3100 	s:9.3038 	Average Loss:  0.2518092887981084
Iteration:  3200 	s:9.2619 	Average Loss:  0.3067396710262489
Iteration:  3300 	s:9.4966 	Average Loss:  0.30150796773326877
Iteration:  3400 	s:8.9399 	Average Loss:  0.1751827638053587
Iteration:  3500 	s:8.8985 	Average Loss:  0.27411193452266164
Iteration:  3600 	s:9.6177 	Average Loss:  0.4296198229046422
Iteration:  3700 	s:9.3457 	Average Loss:  0.35773723155556125
Iteration:  3800 	s:9.9504 	Average Loss:  0.16594552333420734
Iteration:  3900 	s:9.0996 	Average Loss:  0.26650112063102505
Iteration:  4000 	s:9.5260 	Average Loss:  0.3482924742826617
Iteration:  4100 	s:9.3771 	Average Loss:  0.1542921785597714
Iteration:  4200 	s:9.6428 	Average Loss:  0.27118547715698194
Iteration:  4300 	s:9.2556 	Average Loss:  0.24081884683613178
Iteration:  4400 	s:10.3765 	Average Loss:  0.3441063807122319
Iteration:  4500 	s:11.4559 	Average Loss:  0.2136521977510115
Iteration:  4600 	s:9.9760 	Average Loss:  0.12659363479748162
Iteration:  4700 	s:10.3440 	Average Loss:  0.21367087341673002
Iteration:  4800 	s:10.2600 	Average Loss:  0.10077321412507445
Iteration:  4900 	s:10.7909 	Average Loss:  0.28133513089727513
Iteration:  5000 	s:10.3525 	Average Loss:  0.12662859958409306
Iteration:  5100 	s:10.0796 	Average Loss:  0.2854427965698855
Iteration:  5200 	s:10.6164 	Average Loss:  0.2157484870031749
Iteration:  5300 	s:10.2275 	Average Loss:  0.24173509792085496
Iteration:  5400 	s:10.6783 	Average Loss:  0.1047658245267289
Iteration:  5500 	s:9.7959 	Average Loss:  0.1404288519135034
Iteration:  5600 	s:9.7713 	Average Loss:  0.23175937688252135
Iteration:  5700 	s:9.5644 	Average Loss:  0.2686659350896048
Iteration:  5800 	s:9.3221 	Average Loss:  0.11996514881897859
Iteration:  5900 	s:9.7944 	Average Loss:  0.11546928309761505
Iteration:  6000 	s:9.2116 	Average Loss:  0.2076294809836349
Iteration:  6100 	s:9.6750 	Average Loss:  0.14716059927712924
Iteration:  6200 	s:9.4681 	Average Loss:  0.23356093453759466
Iteration:  6300 	s:10.2285 	Average Loss:  0.19015183368373845
Iteration:  6400 	s:9.5419 	Average Loss:  0.1977694342054068
Iteration:  6500 	s:9.8383 	Average Loss:  0.2847283219300962
Iteration:  6600 	s:9.8943 	Average Loss:  0.1244991696122952
Iteration:  6700 	s:9.9264 	Average Loss:  0.33779737741776444
Iteration:  6800 	s:10.2326 	Average Loss:  0.2643189706067278
Iteration:  6900 	s:9.4650 	Average Loss:  0.1630415557999086
Iteration:  7000 	s:9.4126 	Average Loss:  0.17136792728051067
Iteration:  7100 	s:10.3042 	Average Loss:  0.17461561715498145
Iteration:  7200 	s:11.4836 	Average Loss:  0.26985450371375824
Iteration:  7300 	s:12.2107 	Average Loss:  0.17152575189553773
Iteration:  7400 	s:12.6709 	Average Loss:  0.19158781709197106
Iteration:  7500 	s:10.8303 	Average Loss:  0.1570452268177986
Iteration:  7600 	s:11.2395 	Average Loss:  0.1483450814503117
Iteration:  7700 	s:11.5822 	Average Loss:  0.2164095236969555
Iteration:  7800 	s:10.4808 	Average Loss:  0.18695536620211256
Iteration:  7900 	s:11.3029 	Average Loss:  0.13984337201259403
Iteration:  8000 	s:11.1951 	Average Loss:  0.22206009339585986
Iteration:  8100 	s:12.3904 	Average Loss:  0.17693801528251935
Iteration:  8200 	s:10.2047 	Average Loss:  0.287144176037184
Iteration:  8300 	s:11.0386 	Average Loss:  0.08127693541048256
Iteration:  8400 	s:10.4012 	Average Loss:  0.1557172858765846
Iteration:  8500 	s:10.9771 	Average Loss:  0.1278070592930571
Iteration:  8600 	s:10.1189 	Average Loss:  0.05676861119331173
Iteration:  8700 	s:10.7062 	Average Loss:  0.2424852628914687
Iteration:  8800 	s:10.9647 	Average Loss:  0.1667867312020165
Iteration:  8900 	s:12.0368 	Average Loss:  0.11956157767883412
Iteration:  9000 	s:12.9859 	Average Loss:  0.20025502422790464
Iteration:  9100 	s:12.7413 	Average Loss:  0.17276263557600122
Iteration:  9200 	s:10.7447 	Average Loss:  0.19480364769964253
Iteration:  9300 	s:10.9476 	Average Loss:  0.23816335122279678
Iteration:  9400 	s:11.6126 	Average Loss:  0.2247855559591062
Iteration:  9500 	s:12.3407 	Average Loss:  0.1829852717926087
Iteration:  9600 	s:11.4455 	Average Loss:  0.1272994045059882
Iteration:  9700 	s:11.1755 	Average Loss:  0.28361487539263996
Iteration:  9800 	s:11.8530 	Average Loss:  0.051773115999488716
Iteration:  9900 	s:11.4001 	Average Loss:  0.2983649198250291
Iteration:  10000 	s:11.2205 	Average Loss:  0.24765198120063608
Iteration:  10100 	s:11.4863 	Average Loss:  0.1537380266183677
Iteration:  10200 	s:11.6409 	Average Loss:  0.1872532026923292
Iteration:  10300 	s:12.5951 	Average Loss:  0.12913667031693105
Iteration:  10400 	s:11.5169 	Average Loss:  0.27177456154514723
Iteration:  10500 	s:11.2411 	Average Loss:  0.13486682793368027
Iteration:  10600 	s:11.5857 	Average Loss:  0.11962407677799729
Iteration:  10700 	s:11.3324 	Average Loss:  0.20694368647003455
Iteration:  10800 	s:11.2451 	Average Loss:  0.22278490730782216
Iteration:  10900 	s:11.3097 	Average Loss:  0.11732171849333053
Iteration:  11000 	s:11.2500 	Average Loss:  0.1572125385956781
Iteration:  11100 	s:11.8474 	Average Loss:  0.147309503487448
Iteration:  11200 	s:11.0628 	Average Loss:  0.09748029031623673
Iteration:  11300 	s:11.2378 	Average Loss:  0.176219968188929
Iteration:  11400 	s:11.5730 	Average Loss:  0.1029352357751327
Iteration:  11500 	s:11.8670 	Average Loss:  0.24487776703757255
Iteration:  11600 	s:11.3123 	Average Loss:  0.21360462288141122
Iteration:  11700 	s:11.6376 	Average Loss:  0.1607554083516159
Iteration:  11800 	s:11.3850 	Average Loss:  0.09691956811243124
Iteration:  11900 	s:11.4137 	Average Loss:  0.25839607590101726
Iteration:  12000 	s:11.7879 	Average Loss:  0.2699642405119166
Iteration:  12100 	s:11.4561 	Average Loss:  0.09047399046635657
Iteration:  12200 	s:11.2647 	Average Loss:  0.06454947188941693
Iteration:  12300 	s:11.6689 	Average Loss:  0.2735315664014452
Iteration:  12400 	s:12.6284 	Average Loss:  0.3427353817846497
Iteration:  12500 	s:12.7983 	Average Loss:  0.16567355130255737
Iteration:  12600 	s:13.6370 	Average Loss:  0.20706772483691846
Iteration:  12700 	s:12.6483 	Average Loss:  0.1665116634259575
Iteration:  12800 	s:11.9285 	Average Loss:  0.06434500914997195
Iteration:  12900 	s:11.4401 	Average Loss:  0.17836498248541832
Iteration:  13000 	s:11.8764 	Average Loss:  0.21993178470219873
Iteration:  13100 	s:11.4087 	Average Loss:  0.19526265088161676
Iteration:  13200 	s:11.2219 	Average Loss:  0.12137301674770139
Iteration:  13300 	s:11.9933 	Average Loss:  0.2494679552238349
Iteration:  13400 	s:11.5935 	Average Loss:  0.1838345467252907
Iteration:  13500 	s:11.6995 	Average Loss:  0.14129466903596494
Iteration:  13600 	s:11.9762 	Average Loss:  0.08980667170414243
Iteration:  13700 	s:11.3043 	Average Loss:  0.10607191886671036
Iteration:  13800 	s:11.2622 	Average Loss:  0.13514929809080317
Iteration:  13900 	s:11.4528 	Average Loss:  0.11685726536981975
Iteration:  14000 	s:11.1649 	Average Loss:  0.13377197565623158
Iteration:  14100 	s:11.0094 	Average Loss:  0.1743850479403619
Iteration:  14200 	s:11.7382 	Average Loss:  0.12635155418084612
Iteration:  14300 	s:11.1564 	Average Loss:  0.08162879268721142
Iteration:  14400 	s:11.0883 	Average Loss:  0.17965974696453155
Iteration:  14500 	s:11.8151 	Average Loss:  0.23332610247827504
Iteration:  14600 	s:11.2363 	Average Loss:  0.11538226511680144
Iteration:  14700 	s:12.2584 	Average Loss:  0.04379361404073173
Iteration:  14800 	s:11.8999 	Average Loss:  0.04983895151433642
Iteration:  14900 	s:13.0475 	Average Loss:  0.06322112009275814
Iteration:  15000 	s:12.7576 	Average Loss:  0.6390589219179684
Epoch time:  1598.827577829361
{addition(tensor(train(0)),tensor(train(1)),5): tensor(0.9854, grad_fn=<MulBackward0>)}

Process finished with exit code 0


Training  for 1 epoch(s)
Epoch 1
Iteration:  100 	s:6.6150 	Average Loss:  13.766818208675668
Iteration:  200 	s:7.0172 	Average Loss:  14.410676181111302
Iteration:  300 	s:7.2364 	Average Loss:  12.890766225196264
Iteration:  400 	s:7.6613 	Average Loss:  14.766160316932774
Iteration:  500 	s:7.9294 	Average Loss:  14.115806586798117
Iteration:  600 	s:8.1131 	Average Loss:  13.198934841658767
Iteration:  700 	s:8.7671 	Average Loss:  13.757829832285484
